tag_category volm_category
FOREST Deciduous_Forest
SHRUB_SCRUB Dwarf_Scrub
BARREN_MINIMAL_VEGETATION Barren_Land/Beach
URBAN_BUILT_UP Developed/Low_Intensity
AGRICULTURE Cultivated_Crops
WATER Open_Water
ICE_SNOW Perennial_Ice/Snow
ROAD roads
MOUNTAIN_SKYLINE invalid 
CROSS_INTERSECTION road_road
T_INTERSECTION T_section
RAILWAY_TRACKS railway
RELIGIOUS_BUILDING church
HOUSE building
BUILDING building
BUILDINGS building
STREET_NAME invalid
NAME_ON_SIGN invalid
BUS_STOP_SIGN invalid
NAMED_LOGO invalid
BUILDING_SIGN invalid
PHONE_NUMBER invalid
VEHICLE_LICENSE_PLATE invalid
HIGH_VOLTAGE_POWER_LINES invalid
TEXT invalid
