id name level width fallback1 fallback2 fallback3 fallback4 weight1 weight2 weight3 weight4
0 invalid 0 0 0 0 0 0 1.000 1.000 1.000 1.000
1 Open_Water 0 0 1 6 144 4 1.000 0.800 1.000 0.100
2 Perennial_Ice/Snow 0 0 2 1 6 10 1.000 0.500 0.400 0.100
3 Developed/Open_Space 0 0 3 4 5 6 1.000 0.200 0.200 0.100
4 Developed/Low_Intensity 0 0 4 15 35 31 1.000 0.500 0.300 0.300
5 Developed/High_Intensity 0 0 5 4 15 31 1.000 0.700 1.000 1.000
6 Barren_Land/Beach 0 0 6 1 11 13 1.000 0.100 0.700 0.700
7 Deciduous_Forest 0 0 7 8 9 11 1.000 0.900 0.900 0.700
8 Evergreen_Forest 0 0 8 7 9 11 1.000 0.900 0.900 0.700
9 Mixed_Forest 0 0 9 7 8 11 1.000 0.900 0.900 0.700
10 Dwarf_Scrub 0 0 10 11 6 4 1.000 0.600 0.600 0.100
11 Grassland/Herbaceous 0 0 11 9 4 6 1.000 0.600 0.600 0.800
12 Pasture_Hay 0 0 12 11 10 14 1.000 0.800 0.600 0.600
13 Cultivated_Crops 0 0 13 35 4 11 1.000 1.000 0.600 0.300
14 Woody_Wetlands/Marina 0 0 14 1 11 6 1.000 0.800 0.400 0.600
15 building 4 0 15 4 5 34 1.000 0.800 0.800 0.500
16 airports 1 0.5 16 4 37 11 1.000 0.800 0.800 0.800
17 beaches 0 0 17 1 6 4 1.000 0.800 0.600 0.600
18 bridges 3 0 18 1 4 13 1.000 0.800 0.900 0.600
19 cemeteries 1 0 19 4 13 11 1.000 0.800 0.800 0.800
20 towers 4 0 20 4 13 15 1.000 0.800 0.800 0.600
21 forts 4 0 21 4 13 15 1.000 0.800 0.800 0.600
22 golf_courses 1 0 22 4 13 11 1.000 0.800 0.800 0.600
23 harbors 2 0 23 1 4 6 1.000 0.900 0.700 0.800
24 hotels 4 0 24 4 15 74 1.000 0.900 0.800 0.800
25 lighthouses 4 0 25 4 6 15 1.000 0.800 0.800 0.900
26 marinas 3 0 26 23 1 4 1.000 0.800 0.900 0.800
27 mines 0 0 27 6 4 13 1.000 0.800 0.600 0.600
28 parks 1 0 28 4 73 94 1.000 0.900 0.800 0.800
29 piers 4 5 29 1 5 16 1.000 0.700 0.100 0.500
30 wharves 3 0 30 1 29 23 1.000 1.000 0.700 0.600
31 roads 3 2.5 31 4 11 94 1.000 0.800 0.800 0.800
32 parking 2 0 32 4 94 90 1.000 0.800 0.800 0.800
33 beach_walkway 0 1 33 6 15 1 1.000 0.800 0.700 0.700
34 tall_building 4 0 34 15 4 94 1.000 0.400 0.800 0.800
35 Cultivated_Rice/Paddy 0 0 35 13 86 11 1.000 0.800 1.000 0.500
36 aerialway 4 0.5 36 4 106 110 1.000 0.800 0.600 0.600
37 airport_terminal 2 0 37 16 15 4 1.000 0.800 0.600 0.800
38 club 4 0 38 4 15 74 1.000 0.800 0.800 0.800
39 food_place 4 0 39 4 15 52 1.000 0.800 0.800 0.800
40 school 2 0 40 4 13 94 1.000 0.900 0.600 0.900
41 library 4 0 41 4 15 94 1.000 0.900 0.800 0.800
42 university 1 0 42 4 40 94 1.000 0.900 0.800 0.800
43 garage 4 0 43 4 15 32 1.000 0.900 0.800 0.600
44 car_wash 4 0 44 4 43 32 1.000 0.900 0.800 0.600
45 gas_station 4 0 45 4 74 94 1.000 0.900 0.600 0.800
46 taxi 4 0 46 4 94 52 1.000 0.900 0.800 0.600
47 bank 4 0 47 4 94 15 1.000 0.900 0.800 0.800
48 hostptial 2 0 48 4 94 15 1.000 0.900 0.900 0.600
49 pharmacy 4 0 49 4 94 15 1.000 0.900 0.900 0.600
50 pet 4 0 50 4 94 15 1.000 0.900 0.900 0.600
51 theater 4 0 51 4 15 52 1.000 0.900 0.900 0.600
52 plaza 1 0 52 4 94 91 1.000 0.900 0.800 0.800
53 fountain 4 0 53 4 15 1 1.000 0.900 0.800 0.800
54 tv_station 4 0 54 4 15 94 1.000 0.800 0.600 0.600
55 landmark 4 0 55 4 15 52 1.000 0.900 0.800 0.800
56 gov_building 4 0 56 4 15 92 1.000 0.900 0.800 0.800
57 file_station 4 0 57 4 15 94 1.000 0.900 0.800 0.800
58 gym 4 0 58 4 15 94 1.000 0.900 0.800 0.800
59 police_station 4 0 59 4 15 94 1.000 0.900 0.800 0.800
60 post_office 4 0 60 4 15 94 1.000 0.900 0.800 0.800
61 telephone 4 0 61 4 15 94 1.000 0.900 0.800 0.800
62 wall 2 12 62 4 15 94 1.000 0.900 0.800 0.800
63 ditch 4 1 63 4 13 1 1.000 0.500 0.800 0.900
64 fence 4 0.2 64 4 11 13 1.000 0.800 0.800 0.800
65 border_control 4 0 65 13 4 11 1.000 0.900 0.800 0.600
66 gate 4 0 66 4 13 94 1.000 0.900 0.900 0.800
67 barrier 4 1 67 4 13 94 1.000 0.900 0.800 0.900
68 toll_booth 4 0 68 13 4 11 1.000 0.900 0.800 0.600
69 region_administrative 0 0 69 4 13 11 1.000 0.900 0.800 0.600
70 church 4 0 70 4 15 13 1.000 0.900 0.900 0.600
71 protected_area 1 0 71 4 13 92 1.000 0.900 0.800 0.800
72 restaurant 4 0 72 15 4 39 1.000 0.600 0.500 0.500
74 commercial_building 4 0 74 4 15 91 1.000 0.900 0.900 0.800
75 industrial_building 4 0 75 4 15 94 1.000 0.900 0.900 0.600
76 shop 4 1 76 4 15 92 1.000 0.900 0.900 0.800
77 warehouse 4 0 77 4 15 75 1.000 0.900 0.900 0.800
78 train_station 4 0 78 4 15 94 1.000 0.900 0.900 0.600
79 building_school 4 0 79 4 15 40 1.000 0.900 0.900 0.900
80 barn 4 0 80 13 35 4 1.000 0.900 0.900 0.600
81 greenhouse 4 0 81 13 35 4 1.000 0.900 0.900 0.600
82 motorway 3 15 82 4 31 83 1.000 0.900 0.600 0.500
83 trunk 3 7.5 83 4 31 82 1.000 0.900 0.600 0.500
84 tertiary 3 6 84 4 31 83 1.000 0.500 0.900 0.500
85 bus_way 3 3 85 4 31 94 1.000 0.900 0.600 0.900
86 agricutural_track 3 1 86 13 35 4 1.000 0.900 0.900 0.700
87 path 3 0 87 4 13 35 1.000 0.600 0.900 0.900
88 steps 3 3 88 4 31 94 1.000 0.900 0.600 0.900
89 junction 3 0 89 4 31 94 1.000 0.900 0.600 0.900
90 road_rest_area 3 0 90 4 94 82 1.000 0.900 0.800 0.800
91 commercial_area 1 0 91 4 3 13 1.000 0.900 0.700 0.700
92 military_land 1 0 92 4 13 11 1.000 0.900 0.800 0.700
93 mineral 2 0 93 4 13 6 1.000 0.850 0.850 0.850
94 land_residential 1 0 94 4 91 13 1.000 0.900 0.800 0.900
95 sports_field 2 0 95 4 94 91 1.000 0.900 0.800 0.600
96 swimming_pool 4 0 96 4 94 1 1.000 0.900 0.900 0.100
97 crane 4 0 97 4 1 23 1.000 0.900 0.800 0.700
98 flag 4 0 98 4 13 94 1.000 0.900 0.900 0.900
99 mineshaft 2 0 99 93 4 13 1.000 0.800 0.800 0.800
100 pipeline 4 3 100 4 13 6 1.000 0.800 0.900 0.900
101 storage_tank 4 0 101 4 13 6 1.000 0.800 0.900 0.900
102 windmill 4 0 102 4 13 6 1.000 0.800 0.900 0.900
103 naval_base 2 0 103 23 4 1 1.000 0.600 0.900 0.900
104 rock 4 0 104 6 3 13 1.000 1.000 1.000 1.000
105 spring 4 0 105 3 13 4 1.000 0.900 0.900 0.900
106 snow_mountain 1 0 106 2 6 71 1.000 0.700 0.600 0.600
107 saddle 4 0 107 2 6 71 1.000 1.000 1.000 1.000
108 power_plant 2 0 108 6 11 13 1.000 0.800 0.800 0.800
109 power_generator 4 0 109 6 13 108 1.000 0.800 0.800 0.800
110 railway 3 1.5 110 4 6 13 1.000 0.800 0.800 0.800
111 light_rail 3 1.5 111 4 6 13 1.000 0.800 0.800 0.800
112 railway_abandoned 3 1.5 112 4 6 13 1.000 0.800 0.800 0.800
113 rail_subway 3 1.5 113 4 13 94 1.000 0.800 0.800 0.800
114 tunnel 3 0 114 6 13 4 1.000 0.900 0.800 0.600
115 train_station 4 0 115 4 15 13 1.000 0.900 0.800 0.800
116 subway_entrance 4 0 116 4 115 13 1.000 0.900 0.800 0.800
117 rail_road_cross 3 0 117 4 110 113 1.000 0.900 0.500 0.500
118 store_alcohol 4 0 118 4 15 120 1.000 0.900 0.600 0.700
119 store_sports 4 0 119 4 15 120 1.000 0.900 0.600 0.700
120 store 4 0 120 4 15 31 1.000 0.900 0.700 0.600
121 shop_bakery 4 0 121 4 15 120 1.000 0.900 0.600 0.700
122 shop_butcher 4 0 122 4 15 120 1.000 0.900 0.600 0.700
123 shop_convenience 4 0 123 4 15 120 1.000 0.900 0.600 0.700
124 mall 4 0 124 4 15 120 1.000 0.900 0.600 0.700
125 supermarket 4 0 125 4 15 120 1.000 0.900 0.600 0.700
126 shop_clothes 4 0 126 4 15 120 1.000 0.900 0.600 0.700
127 store_florist 4 0 127 4 15 120 1.000 0.900 0.600 0.700
128 store_bicycle 4 0 128 4 15 120 1.000 0.900 0.600 0.700
129 store_motorcycle 4 0 129 4 15 120 1.000 0.900 0.600 0.700
130 store_books 4 0 130 4 15 120 1.000 0.900 0.600 0.700
131 sport 4 0 131 4 94 15 1.000 0.900 0.800 0.600
132 sport_soccer 4 0 132 4 95 40 1.000 0.900 0.700 0.500
133 sport_swimming 4 0 133 4 95 15 1.000 0.900 0.700 0.500
134 sport_tennis 4 0 134 4 95 94 1.000 0.900 0.700 0.500
135 sport_volleyball 4 0 135 4 95 15 1.000 0.900 0.700 0.500
136 tourism_alpinehut 4 0 136 8 4 28 1.000 0.900 0.800 0.900
137 tourism_attraction 4 0 137 4 6 10 1.000 0.800 0.800 0.800
138 tourism 4 5 138 4 6 10 1.000 0.800 0.800 0.800
139 tourism_visiting_center 4 0 139 4 28 8 1.000 0.800 0.800 0.800
140 tourism_museum 4 0 140 4 15 6 1.000 0.800 0.800 0.500
141 tourism_viewpoint 4 0 141 4 6 28 1.000 0.800 0.800 0.800
142 tourism_zoo 4 0 142 4 6 28 1.000 0.800 0.800 0.800
143 water_river 1 5 143 1 6 144 1.000 0.800 0.900 1.000
144 water_large_river 1 15 144 143 1 6 1.000 0.900 0.800 0.500
145 water_stream 1 3 145 144 1 6 1.000 1.000 0.500 0.500
146 water_canal 1 10 146 144 1 6 1.000 1.000 0.800 0.800
147 water_dam 1 20 147 13 10 11 1.000 0.500 0.500 0.500
148 mountain_peak 1 0 148 6 6 6 1.000 0.800 0.800 0.800
149 store_laundry 4 0 149 4 15 120 1.000 0.900 0.600 0.700
150 road_road 4 2.5 150 31 4 13 1.000 0.800 0.800 0.600
152 road_motorway 5 15 152 150 154 153 1 0.8 0.7 0.7
153 road_trunk 5 7.5 153 150 154 152 1 0.9 0.8 0.7
154 road_tertiary 5 6 154 150 153 152 1 0.9 0.8 0.7
241 T_section 5 5 241 31 150 154 1 0.8 0.8 0.6
242 palm_tree 5 0 242 4 31 8 9 1 1 1 1
